,index,season,date,league_id,league,team1,team2,spi1,spi2,prob1,prob2,probtie,proj_score1,proj_score2,importance1,importance2,score1,score2,xg1,xg2,nsxg1,nsxg2,adj_score1,adj_score2
1435,1735,2016,2017-04-05,1869,Spanish Primera Division,Barcelona,Sevilla FC,95.89,80.35,0.8937,0.0284,0.0779,2.91,0.68,,,3.0,0.0,1.4,0.76,3.14,1.02,3.15,0.0
1436,1736,2016,2017-04-05,1845,German Bundesliga,SV Darmstadt 98,Bayer Leverkusen,45.07,74.11,0.2442,0.5159,0.2399,1.08,1.78,,,0.0,2.0,0.58,1.54,0.56,2.04,0.0,2.1
1437,1737,2016,2017-04-05,1845,German Bundesliga,Borussia Monchengladbach,Hertha Berlin,72.17,69.33,0.486,0.2341,0.2799,1.31,0.82,,,1.0,0.0,1.38,0.66,2.93,1.62,1.05,0.0
1438,1738,2016,2017-04-05,1845,German Bundesliga,VfL Wolfsburg,SC Freiburg,71.15,64.1,0.5495,0.2094,0.2411,1.67,0.98,,,0.0,1.0,2.19,0.87,2.01,0.93,0.0,1.05
1439,1739,2016,2017-04-05,1845,German Bundesliga,Mainz,RB Leipzig,65.48,75.27,0.334,0.3909,0.2751,1.16,1.24,,,2.0,3.0,3.0,1.57,1.73,1.46,2.1,2.88
1440,1740,2016,2017-04-05,1845,German Bundesliga,FC Augsburg,FC Ingolstadt 04,60.73,60.81,0.3836,0.3334,0.283,1.18,1.06,,,2.0,3.0,1.45,1.7,1.15,1.61,2.1,3.15
1441,1741,2016,2017-04-05,1869,Spanish Primera Division,Deportivo La Coruña,Granada,68.4,48.05,0.5597,0.181,0.2594,1.7,0.67,,,0.0,0.0,1.28,0.4,1.09,0.56,0.0,0.0
1442,1742,2016,2017-04-05,1869,Spanish Primera Division,Sporting Gijón,Málaga,56.76,67.7,0.4268,0.2982,0.275,1.4,1.09,,,0.0,1.0,0.84,0.52,1.55,0.75,0.0,1.05
1443,1743,2016,2017-04-05,1869,Spanish Primera Division,Alavés,Osasuna,70.18,49.83,0.5593,0.1779,0.2627,1.67,0.65,,,0.0,1.0,0.66,0.53,1.29,0.55,0.0,1.05
1444,1744,2016,2017-04-05,2411,Barclays Premier League,Arsenal,West Ham United,78.17,61.41,0.6847,0.1346,0.1807,2.49,1.17,,,3.0,0.0,2.22,0.34,2.84,0.49,2.81,0.0
1445,1745,2016,2017-04-05,2411,Barclays Premier League,Southampton,Crystal Palace,67.27,59.95,0.5375,0.1976,0.2649,1.59,0.91,,,3.0,1.0,3.53,1.8,2.73,1.56,2.76,1.05
1446,1746,2016,2017-04-05,2411,Barclays Premier League,Hull City,Middlesbrough,47.44,51.78,0.4072,0.2809,0.3119,1.11,0.91,,,4.0,2.0,2.04,1.5,1.34,1.49,4.2,2.1
1447,1747,2016,2017-04-05,2411,Barclays Premier League,Swansea City,Tottenham Hotspur,56.01,81.84,0.1469,0.6395,0.2136,1.02,2.02,,,1.0,3.0,0.73,2.56,0.87,2.68,1.05,2.63
1448,1748,2016,2017-04-05,2411,Barclays Premier League,Liverpool,AFC Bournemouth,80.73,61.84,0.7112,0.1138,0.1749,2.46,1.01,,,2.0,2.0,2.16,1.0,2.1,0.52,2.1,2.1
1449,1749,2016,2017-04-05,2411,Barclays Premier League,Chelsea,Manchester City,84.62,84.8,0.4585,0.275,0.2665,1.55,1.2,,,2.0,1.0,1.93,2.17,1.3,1.85,2.1,1.05
1450,1750,2016,2017-04-05,1869,Spanish Primera Division,Leganes,Real Madrid,67.9,91.69,0.158,0.6419,0.2001,0.96,1.98,,,2.0,4.0,1.55,2.41,0.86,1.83,2.1,4.2
